f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,covid
-474.29135,39.933323,-5.3622828,-0.104438916,-9.017367,-6.921025,-12.405149,-7.337693,0.95715797,-6.2175016,-4.9647827,-5.873616,-3.7879162,-1.2627276,-4.6045685,-2.400267,-1.141483,-2.089517,-1.9631277,-1.1995345,-2.7055938,-5.729992,-2.6713035,0.7439353,1.0097411,1.9285436,1.4970112,1.2454587,-0.07033474,-1.2763507,0.81198674,1.1893065,0.12653215,-0.040841483,-0.094134405,0.5585535,1.0319535,0.21899714,-0.41610417,-0.12328043,1
-366.22803,54.04431,-20.87607,11.823387,-22.81241,-3.7620173,-11.506896,-8.644474,-13.5666275,-4.155171,-6.4521346,-6.226137,-1.1252017,-5.6082153,0.8354163,-6.5449467,-0.28771284,-3.6175542,-4.0033503,-3.4599683,-2.2303717,-2.6492212,-7.3285036,-0.27383223,-2.3358963,-1.9933547,-1.0614923,-0.3936062,-2.833011,0.8505878,-0.78672624,-3.00267,-0.44902658,-2.6198447,-0.039592408,-1.408372,-0.7052115,-0.8054992,0.5521967,1.096888,1
-573.6892,33.555435,-11.602078,26.53065,-19.503328,17.08673,-9.806561,9.94697,-6.194939,7.5776553,-2.3797395,-13.954858,6.142563,-4.2028556,4.4769998,-12.4291115,-7.481544,-7.3262477,-3.6476552,-2.0414336,-4.477042,-0.13279895,-5.414631,2.0243013,0.66019994,-1.6685814,-3.7817023,-1.2030588,-1.5339719,-4.2927814,-0.063727096,-2.6413808,-3.4121296,1.7522739,-1.1602399,-1.6878448,1.9166236,-2.1212518,0.5978623,1.2527297,1
-383.18146,58.195404,-24.60453,16.219946,-15.211372,1.6581749,-16.08989,-2.3564546,-12.7564535,0.95498693,5.16615,-12.960046,-0.14503944,-8.490112,0.84013134,-5.509199,-7.3060284,-6.0688114,-5.7771916,-2.0532253,-7.269798,1.4597521,-4.667409,-4.7966547,-0.5151774,-2.0915914,0.5870106,1.764875,-0.87323743,0.5189817,1.0695134,-1.8555926,2.9309268,0.47017896,-0.9395345,-1.2463083,-0.8183013,0.9199639,-0.2505519,0.4730714,1
-406.45895,51.941483,-20.950829,19.634434,-21.743097,5.927945,-17.607882,-7.2123756,-2.9700944,0.0390447,-5.673493,-9.821063,0.22626747,-8.703086,-1.5289087,-7.706131,-4.9788604,-2.391655,2.0483708,-1.7648822,-3.083345,2.4730577,-2.132753,-0.68463004,-3.115537,2.057255,-2.5799353,-0.549278,-0.6879059,-4.60479,-2.3626351,-3.947216,-1.6353071,-3.3563566,-2.382122,-3.2940378,-0.4355863,0.5712311,0.6563982,0.4408078,1
-482.98782,46.712425,-7.2367287,16.683397,-15.075234,7.586647,-14.112937,5.9997315,-6.8686433,-4.335089,-0.8266468,-2.1675122,3.9628224,-4.6133637,1.1894826,-8.126689,-0.9041112,-5.224814,-3.5533593,-2.701328,-3.2651515,-2.6121123,-6.4651356,0.9334026,-3.939209,-3.659818,-2.1618512,-3.6152194,-4.327152,-0.38072497,-2.1862981,-1.6775538,-0.97203207,-4.60403,-1.779564,-3.573689,0.068217725,0.7543937,-0.5306152,-0.72834426,1
-400.78125,96.55532,-8.535941,2.3911448,-6.4817185,-0.14958876,-9.072343,-12.159644,-1.4338278,-7.921546,-5.452783,-4.409509,-4.7675195,-5.845385,-6.719626,-5.4083133,-8.494879,-5.5157585,-5.0782504,-9.277639,-8.895168,-7.270251,-5.352319,-6.243729,-4.4996963,-3.0597186,-5.564268,-2.6235034,-1.6843492,-2.340006,-1.4961393,-1.8082676,-1.4715889,-2.7796035,-2.4162252,-1.9487737,-1.4832644,-1.1276289,-2.5000103,-2.277918,1
-654.8621,70.402245,-28.53097,20.715519,-63.821655,18.630125,-48.163097,-0.48053217,-18.452063,-20.494623,-4.8172026,-26.797066,-1.0306352,-21.62144,4.7837954,1.0102954,-2.3310456,3.0665696,-3.9459176,1.3442955,1.5582566,1.8291907,-2.8578856,-0.5580437,-2.5508268,-4.892924,-2.632962,0.31596032,-0.9314019,2.3086815,4.090382,3.5734475,-1.4183583,-7.413466,-0.6885337,-4.678528,-3.3887613,1.4679569,-0.40222436,1.3943056,1
-356.16873,53.130684,-45.419044,31.989477,-34.980484,12.024267,-24.481657,-3.3622088,-8.837994,-8.323253,-8.249181,-8.529718,7.5491915,-11.240027,-2.2892463,-7.5785356,2.5586104,-4.3852816,2.9008424,-3.9544082,-8.220869,2.9172726,-8.59104,1.7072684,-3.6231375,-0.051860977,-3.1889026,-2.080722,0.8189381,-3.7593958,-0.7736286,-3.0773392,1.238373,-0.45472723,-0.51039255,-0.25366095,1.5883176,-0.87470245,-0.9818233,-0.32940668,1
-486.52466,49.86028,-21.93645,5.010623,-6.7024903,4.166873,-10.8970175,-6.4311,-10.662488,2.9883091,-10.41268,-7.804384,-0.89446235,-8.746725,-2.6726482,-4.971999,2.6872253,-6.7529783,-0.5576714,-0.22407445,-3.1090703,1.6775892,-2.0573115,-1.0376029,-0.3548332,-1.3678031,-1.3182235,1.138007,-4.614609,-1.9835552,0.35412455,-2.211987,-0.95418847,-0.960728,-1.2038896,1.062888,0.37439013,-1.4853979,1.1743286,-1.4117066,1
