f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,covid
-241.15268,100.9237,-33.22085,3.9830399,-17.41824,-10.755522,-15.778147,-19.449886,-44.30562,-9.686923,0.8082853,-8.896308,-9.824195,8.76527,-8.357808,-0.94054,0.95053214,-2.119704,-12.138207,-6.6842117,-10.411672,1.1898756,-7.5547953,-5.849855,-6.657081,0.23276538,-2.0859945,-2.0198967,1.7870368,-3.372031,2.442471,1.6075516,-1.869317,-1.2340606,-2.1804216,-1.998811,-2.3639536,0.46299803,-3.196178,-1.2545273,0
-297.59833,58.99497,-40.601223,11.282459,-36.869595,19.831923,-36.885834,-0.29957533,-16.068808,-12.145746,-8.087201,-11.713448,-0.7445705,-15.5095005,5.945927,-0.7711817,-0.16163862,-5.0448546,-0.38463894,-7.8175178,-3.1134105,-1.0251361,-5.144404,-0.83108854,-3.6953268,0.75873476,-3.1808672,3.0004733,-2.4313917,0.21479066,0.64780235,-2.4821272,1.0641408,-1.6837724,-2.1572804,-1.1914557,0.34583595,-2.379807,0.42011133,-0.6355276,0
-464.69318,31.512754,-15.393894,5.005681,2.7073064,7.8247237,-19.411894,-6.572713,-12.484451,6.837173,-6.982632,4.9282804,-6.4809437,3.9239953,-9.98308,2.6768506,-4.7329226,-2.1970496,2.761199,-2.1235337,-3.556903,5.048593,-3.7119622,3.194553,1.8798816,3.156563,-2.3442676,2.5902803,-1.4286851,2.5147703,1.1964282,-1.6682459,0.48982638,-0.29651126,-0.8441639,1.0290068,0.13899653,-0.18144272,0.35204768,0.13779417,0
-475.459,33.275642,-12.790758,9.513643,-3.4681532,4.218916,-2.1406612,-1.3017081,-7.504713,-3.2742083,-0.83517396,-5.903084,-1.2627845,-3.8349135,-0.7748696,-0.3639896,-1.605522,-4.589366,-5.851576,-8.487631,-2.9101806,-1.6151252,-6.163006,-0.26876122,-3.2557445,-2.7672555,-1.1175549,-0.36582014,-0.67787904,-2.3844242,-1.0960279,-1.1842277,0.058790963,-0.47366136,0.5321031,-1.6214696,-1.4435153,0.7068568,-0.260077,-0.26245284,0
-413.9102,55.76992,-31.717735,34.07519,-11.67621,1.1479914,-15.189978,-5.2877564,-11.406226,9.378223,-0.20068353,-17.74823,5.9098773,-5.5890546,-4.729133,-5.8688974,-5.8145256,-9.172039,-3.7486007,-10.371334,-8.442725,-2.4685109,-10.560568,-1.4273425,-3.915393,-3.7224889,-2.4666028,-0.8226282,-2.7023947,-0.39223284,0.4237099,-1.6272889,1.0237427,-2.0343165,4.1207447,1.6819726,0.08833879,1.4241227,1.8407146,3.2668533,0
-421.58746,54.10954,-8.854046,-10.036292,-8.444943,-0.36551866,-13.250349,-9.788433,-13.752766,2.0892682,0.81156087,-2.0970852,-8.732357,-0.050460108,-2.9865026,-1.6576313,-4.874279,1.8721151,-4.8002815,-2.254136,-2.2413447,1.646602,-6.1380415,-1.8171344,-0.24133317,1.0109094,0.15426952,1.3714182,-1.761614,-1.5452236,-1.8123531,-1.0688666,-1.8548255,-0.760266,-0.87929064,-0.74362886,-0.67830193,1.6739055,-0.6477192,0.108821794,0
-468.97186,28.119673,-24.313822,6.2944756,-19.803244,5.695269,-13.397583,1.2889035,-11.243569,-9.026568,-0.0801121,-4.903342,3.6327357,-3.7022936,-1.1832613,-5.535442,-0.71047914,-4.03014,-0.7046687,-2.9750512,-2.7053998,2.719224,-3.6007335,2.1521575,-0.3760599,-0.10642468,0.43441212,1.168552,-1.7261693,0.9389487,1.7136539,-2.8976796,1.505619,-2.1936865,0.35489634,0.08337796,-1.3377289,-0.43285704,-0.98731536,0.5641728,0
-378.5474,71.2067,-31.87641,10.8494625,-12.6285925,-4.658159,-19.23553,-11.502827,-17.365618,-6.4254804,-0.52882975,-16.861229,-9.387747,-7.978252,-0.8562868,-4.9967237,-5.113384,-1.2105389,-3.4216533,-4.838357,-3.8034067,-4.7153444,-6.2167897,-0.8073831,1.2507111,-1.3620563,-0.3817577,3.848869,0.77478343,1.4201427,0.18823639,-1.8414736,-0.54482025,-1.8135736,-0.6181974,-0.9746919,-0.822178,0.2451067,2.291009,1.0817142,0
-449.9273,63.591557,-6.3647423,-5.451669,-12.525711,5.7938185,-3.4457514,-6.0688534,-15.0790205,-7.184933,-7.4765773,-6.238005,-5.2609854,1.2384636,-2.9365997,-3.9633842,-8.029756,-4.6768517,-6.7138805,-3.309693,-5.670217,-1.8658307,-0.069423,-1.6320777,-2.987629,-0.5025136,-1.1743925,-1.395321,-2.11092,-1.6645643,-2.2461035,-1.8484137,-1.6423309,-1.9333088,-2.440239,-0.8537989,-1.3717443,-1.2677721,-0.8793689,0.06539336,0
-274.52844,88.53965,-32.277367,20.864557,-43.658245,-2.022748,-22.18849,-3.3774445,-33.61294,-5.9190764,-8.663214,-26.768724,2.519715,-7.3539777,1.1124513,-4.308768,-1.3919445,-7.776848,-1.7358857,-3.8476856,-3.2315524,0.14105615,-0.86354125,0.4912449,-2.3611133,1.7875713,-2.0559897,2.3129623,-3.5014591,0.20306328,0.0527854,-3.6972759,-0.54196024,-2.2588146,-2.6970427,-3.6333566,-1.268462,-3.3457103,-1.6976259,-2.7022855,0
